id,time_stamp,latitude,longitude,course,speed,altitude,comment,time_received,delay
Rider-1,14:57:40,52.056,7.582666667,262,211.128,1833.372,0,2025-Jun-09 12:36:14,0
Rider-2,14:57:42,52.056,7.581833333,262,212.98,1837.3344,0,2025-Jun-09 12:36:14,0.10499382
Rider-3,14:57:42,52.05583333,7.581,262,212.98,1840.3824,0,2025-Jun-09 12:36:14,0.110667706
Rider-4,14:57:43,52.05583333,7.58,262,214.832,1844.3448,0,2025-Jun-09 12:36:14,0.111320257
Rider-5,14:57:44,52.05566667,7.579166667,262,214.832,1847.088,0,2025-Jun-09 12:36:15,0.110044003
Rider-6,14:57:45,52.05566667,7.578333333,262,214.832,1850.136,0,2025-Jun-09 12:36:15,0.111003399
Rider-7,14:57:46,52.05566667,7.5775,262,216.684,1854.0984,0,2025-Jun-09 12:36:15,0.109997988
Rider-8,14:57:47,52.0555,7.5765,262,216.684,1857.1464,0,2025-Jun-09 12:36:15,0.110951185
Rider-9,14:57:48,52.0555,7.575666667,262,216.684,1860.1944,0,2025-Jun-09 12:36:15,0.111047745
Rider-10,14:57:49,52.05533333,7.574833333,262,218.536,1864.1568,0,2025-Jun-09 12:36:15,0.109916925
Rider-11,14:57:50,52.05533333,7.574,261,218.536,1867.2048,0,2025-Jun-09 12:36:15,0.1115942
Rider-12,14:57:52,52.05516667,7.573,261,218.536,1871.1672,0,2025-Jun-09 12:36:15,0.108002901
Rider-13,14:57:52,52.05516667,7.572166667,261,218.536,1874.2152,0,2025-Jun-09 12:36:15,0.110046864
Rider-14,14:57:54,52.055,7.571333333,261,218.536,1878.1776,0,2025-Jun-09 12:36:16,0.10895133
Rider-15,14:57:55,52.055,7.5705,260,218.536,1881.2256,0,2025-Jun-09 12:36:16,0.108050108
Rider-16,14:57:56,52.05483333,7.5695,260,220.388,1885.188,0,2025-Jun-09 12:36:16,0.108998537
Rider-17,14:57:57,52.05483333,7.568666667,260,220.388,1888.236,0,2025-Jun-09 12:36:16,0.10945487
Rider-18,14:57:58,52.05466667,7.567833333,260,220.388,1892.1984,0,2025-Jun-09 12:36:16,0.111283064
Rider-19,14:57:59,52.05466667,7.566833333,260,220.388,1895.2464,0,2025-Jun-09 12:36:16,0.109435081
Rider-20,14:58:00,52.0545,7.566,259,220.388,1899.2088,0,2025-Jun-09 12:36:16,0.110048294
Rider-21,14:58:01,52.0545,7.565166667,259,220.388,1902.2568,0,2025-Jun-09 12:36:16,0.110949755
Rider-22,14:58:02,52.05433333,7.564166667,259,222.24,1906.2192,0,2025-Jun-09 12:36:16,0.109002113
Rider-23,14:58:04,52.05416667,7.5625,259,222.24,1913.2296,0,2025-Jun-09 12:36:17,0.111048698
Rider-24,14:58:04,52.054,7.5615,259,222.24,1917.192,0,2025-Jun-09 12:36:17,0.108952761
Rider-25,14:58:07,52.05383333,7.559833333,259,222.24,1925.1168,0,2025-Jun-09 12:36:18,1.114152431
Rider-26,14:58:08,52.05366667,7.558833333,259,222.24,1928.1648,0,2025-Jun-09 12:36:18,0.109997272
Rider-27,14:58:09,52.05366667,7.558,259,224.092,1932.1272,0,2025-Jun-09 12:36:18,0.111000299
